Barrio_Codigo;Barrio_Nombre;Barrio_Dist_Codigo
1010101;Amón;10101
1010102;Aranjuez;10101
1010103;California (parte);10101
1010104;Carmen;10101
1010105;Empalme;10101
1010106;Escalante;10101
1010107;Otoya.;10101
1010201;Bajos de la Unión;10102
1010202;Claret;10102
1010203;Cocacola;10102
1010204;Iglesias Flores;10102
1010205;Mantica;10102
1010206;México;10102
1010207;Paso de la Vaca;10102
1010208;Pitahaya.;10102
1010301;Almendares;10103
1010302;Ángeles;10103
1010303;Bolívar;10103
1010304;Carit;10103
1010305;Colón (parte);10103
1010306;Corazón de Jesús;10103
1010307;Cristo Rey;10103
1010308;Cuba;10103
1010309;Dolorosa (parte);10103
1010310;Merced;10103
1010311;Pacífico (parte);10103
1010312;Pinos;10103
1010313;Salubridad;10103
1010314;San Bosco;10103
1010315;San Francisco;10103
1010316;Santa Lucía;10103
1010317;Silos.;10103
1010401;Bellavista;10104
1010402;California (parte);10104
1010403;Carlos María Jiménez;10104
1010404;Dolorosa (parte);10104
1010405;Dos Pinos;10104
1010406;Francisco Peralta (parte);10104
1010407;González Lahmann;10104
1010408;González Víquez;10104
1010409;Güell;10104
1010410;La Cruz;10104
1010411;Lomas de Ocloro;10104
1010412;Luján;10104
1010413;Milflor;10104
1010414;Naciones Unidas;10104
1010415;Pacífico (parte);10104
1010416;San Cayetano (parte);10104
1010417;Soledad;10104
1010418;Tabacalera;10104
1010419;Vasconia.;10104
1010501;Alborada;10105
1010502;Calderón Muñoz;10105
1010503;Cerrito;10105
1010504;Córdoba;10105
1010505;Gloria;10105
1010506;Jardín;10105
1010507;Luisas;10105
1010508;Mangos;10105
1010509;Montealegre;10105
1010510;Moreno Cañas;10105
1010511;Quesada Durán;10105
1010512;San Dimas;10105
1010513;San Gerardo (parte);10105
1010514;Trébol;10105
1010515;Ujarrás;10105
1010516;Vista Hermosa;10105
1010517;Yoses Sur;10105
1010518;Zapote (centro).;10105
1010601;Ahogados (parte);10106
1010602;Bosque;10106
1010603;Cabañas;10106
1010604;Camelias;10106
1010605;Coopeguaria;10106
1010606;Faro;10106
1010607;Fátima;10106
1010608;Hispano;10106
1010609;I Griega;10106
1010610;Lincoln;10106
1010611;Lomas de San Francisco;10106
1010612;Maalot;10106
1010613;Méndez;10106
1010614;Pacífica;10106
1010615;San Francisco de Dos Ríos (centro);10106
1010616;Sauces;10106
1010617;Saucitos;10106
1010618;Zurquí.;10106
1010701;Alborada;10107
1010702;Ánimas;10107
1010703;Árboles;10107
1010704;Bajos del Torres;10107
1010705;Carranza;10107
1010706;Corazón de Jesús;10107
1010707;Cristal;10107
1010708;Carvajal Castro;10107
1010709;Jardines de Autopista;10107
1010710;La Caja;10107
1010711;La Carpio;10107
1010712;Magnolia;10107
1010713;Marimil;10107
1010714;Monserrat;10107
1010715;Peregrina;10107
1010716;Robledal;10107
1010717;Rossiter Carballo;10107
1010718;Santander;10107
1010719;Saturno;10107
1010720;Uruca (centro);10107
1010721;Vuelta del Virilla.;10107
1010801;Américas;10108
1010802;Bajo Cañada (parte);10108
1010803;Balcón Verde;10108
1010804;Colón (parte);10108
1010805;Del Pino;10108
1010806;Holanda;10108
1010807;La Luisa;10108
1010808;La Salle;10108
1010809;Lomalinda;10108
1010810;Morenos;10108
1010811;Niza;10108
1010812;Rancho Luna;10108
1010813;Rohrmoser (parte);10108
1010814;Roma;10108
1010815;Sabana;10108
1010816;Tovar.;10108
1010901;Alfa;10109
1010902;Asturias;10109
1010903;Asunción;10109
1010904;Bribrí;10109
1010905;Favorita Norte;10109
1010906;Favorita Sur;10109
1010907;Galicia;10109
1010908;Geroma;10109
1010909;Hispania;10109
1010910;Libertad;10109
1010911;Lomas del Río;10109
1010912;Llanos del Sol;10109
1010913;María Reina;10109
1010914;Metrópolis;10109
1010915;Navarra;10109
1010916;Pavas (centro);10109
1010917;Pueblo Nuevo;10109
1010918;Residencial del Oeste;10109
1010919;Rincón Grande;10109
1010920;Rohrmoser (parte);10109
1010921;Rotonda;10109
1010922;San Pedro;10109
1010923;Santa Bárbara;10109
1010924;Santa Catalina;10109
1010925;Santa Fé;10109
1010926;Triángulo;10109
1010927;Villa Esperanza.;10109
1011001;Bajo Cañada (parte);10110
1011002;Belgrano;10110
1011003;Hatillo Centro;10110
1011004;Hatillo 1;10110
1011005;Hatillo 2;10110
1011006;Hatillo 3;10110
1011007;Hatillo 4;10110
1011008;Hatillo 5;10110
1011009;Hatillo 6;10110
1011010;Hatillo 7;10110
1011011;Hatillo 8;10110
1011012;Quince de Setiembre;10110
1011013;Sagrada Familia;10110
1011014;Tiribí;10110
1011015;Topacio;10110
1011016;Veinticinco de Julio;10110
1011017;Vivienda en Marcha.;10110
1011101;Bengala;10111
1011102;Bilbao;10111
1011103;Cañada del Sur;10111
1011104;Carmen;10111
1011105;Cascajal;10111
1011106;Cerro Azul;10111
1011107;Colombari;10111
1011108;Domingo Savio;10111
1011109;Guacamaya;10111
1011110;Jazmín;10111
1011111;Hogar Propio;10111
1011112;Kennedy;10111
1011113;López Mateos;10111
1011114;Luna Park;10111
1011115;Martínez;10111
1011116;Mojados;10111
1011117;Mongito;10111
1011118;Monte Azúl;10111
1011119;Musmanni;10111
1011120;Paso Ancho;10111
1011121;Presidentes;10111
1011122;San Cayetano (parte);10111
1011123;San Martín;10111
1011124;San Sebastián (centro);10111
1011125;Santa Rosa;10111
1011126;Seminario;10111
1011127;Sorobarú.;10111
1020101;Alto Carrizal;10201
1020102;Carrizal (parte);10201
1020103;Faroles;10201
1020104;Guapinol;10201
1020105;Hulera;10201
1020106;Itabas;10201
1020107;Jaboncillo;10201
1020108;Profesores (parte).;10201
1020201;Avellana;10202
1020202;Bebedero;10202
1020203;Belo Horizonte (parte);10202
1020204;Carrizal (parte);10202
1020205;Curío;10202
1020206;Chirca;10202
1020207;Chiverral;10202
1020208;Entierrillo;10202
1020209;Filtros;10202
1020210;Guayabos;10202
1020211;Hojablanca;10202
1020212;Juan Santana;10202
1020213;Lajas;10202
1020214;Masilla;10202
1020215;Muta;10202
1020216;Pedrero;10202
1020217;Perú;10202
1020218;Profesores (parte);10202
1020219;Sabanillas;10202
1020220;Salitrillos;10202
